OBJECTID,GEOID20,GROSS_ACRES,LAND_ACRES,WATER_ACRES,NAME,TRACT_NUMB,BASENAME,UVDA_AREA,CRA_NO,CRA_GRP,GEN_ALIAS,DETL_NAMES,C_DISTRICT,SHAPE_Length,SHAPE_Area
43,53033010900,1339.15113164424,1331.84389081933,102.531188887596,Census Tract 109,10900,109,Duwamish - Georgetown,3.2,3,Georgetown,Georgetown,1,43913.8448231493,58333656.6288027
44,53033000300,299.224596547714,299.247829504166,0,Census Tract 3,300,3,Bitter Lake Village,9.5,9,Haller Lake,"Haller Lake, Pinehurst",5,17298.1521486536,13034275.5626555
45,53033000404,155.915428513293,148.133745748262,7.79395084147809,Census Tract 4.04,404,4.04,Bitter Lake Village,9.1,9,Broadview/Bitter Lake,"Broadview, Bitter Lake",5,12962.8073954812,6791703.23284309
46,53033001100,262.083423402238,262.10097169694,0,Census Tract 11,1100,11,Outside - Northeast,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5,14159.1273465597,11416399.5889459
47,53033002400,237.830081348396,237.845848753883,0,Census Tract 24,2400,24,Outside - Northeast,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",4,13151.7125244876,10359919.7831786
48,53033003602,129.060229506086,129.069565556764,0,Census Tract 36.02,3602,36.02,Green Lake - Roosevelt,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6,11471.0943824279,5621886.08481409
49,53033004102,411.755659408818,417.585855442828,500.944137771016,Census Tract 41.02,4102,41.02,Outside - Northeast,7.5,7,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",4,23394.0705628505,17936148.2683553
50,53033004600,638.871842072568,383.596015991099,255.317187655499,Census Tract 46,4600,46,Green Lake - Roosevelt,9.4,9,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",6,25514.2239990878,27829368.758049
51,53033005100,217.867589335082,217.88047523564,0,Census Tract 51,5100,51,Fremont - Wallingford,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",4,13462.5915467426,9490350.15280695
52,53033005401,181.180876274109,186.870726686172,152.025655508678,Census Tract 54.01,5401,54.01,Fremont - Wallingford,11.1,11,Fremont,"Fremont, Wallingford, Northlake",4,19740.1081091274,7892270.53955427
53,53033005600,735.65029002949,746.946440961204,382.1445189795,Census Tract 56,5600,56,Outside - West,12.1,12,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",6,29943.1712872856,32045054.8137872
54,53033006400,223.285422367606,223.296530989849,0,Census Tract 64,6400,64,Outside - East,6.4,6,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",3,13186.7701844683,9726351.90369561
55,53033008300,58.7985824782332,58.7999610818908,0,Census Tract 83,8300,83,First Hill - Capitol Hill,6.1,6,First Hill,"First Hill, Yesler Terrace, Squire Park",3,8632.13489440587,2561276.49784559
56,53033008800,234.389302526823,234.399469996516,0,Census Tract 88,8800,88,Central Area,5.3,5,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",3,13202.5268569703,10210038.8581796
57,53033009000,211.481550692004,211.490577172491,0,Census Tract 90,9000,90,Central Area,5.2,5,Judkins Park,"Judkins Park, Central Area, Little Saigon, Atlantic",3,14319.1029916181,9212173.19680116
58,53033009702,548.664183348973,548.682920655732,0,Census Tract 97.02,9702,97.02,Admiral - West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,28258.7625684306,23899907.426216
59,53033010001,575.123379143811,560.226448557817,14.915033728822,Census Tract 100.01,10001,100.01,Southeast - North,3.6,3,North Beacon Hill/Jefferson Park,"North Beacon Hill, Jefferson Park",2,25628.9245317132,25052474.6053089
60,53033010101,215.375863254019,215.382486932907,0,Census Tract 101.01,10101,101.01,Southeast - North,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2,15311.6567050508,9381810.13054025
61,53033010200,691.338350655974,690.791248778725,513.143483355903,Census Tract 102,10200,102,Outside - Southeast,4.3,4,Seward Park,"Seward Park, Hillman City",2,33576.3709088042,30114819.0137342
62,53033011801,291.06294130288,286.84042118796,155.779433360771,Census Tract 118.01,11801,118.01,Rainier Beach,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,15607.9424172691,12678752.4381058
63,53033011802,283.466665363719,281.604011046184,256.453872410922,Census Tract 118.02,11802,118.02,Rainier Beach,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,17942.0364199174,12347857.3346191
152,53033000101,102.503303019225,102.511173351685,0,Census Tract 1.01,101,1.01,Lake City,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",5,8662.1009802489,4465061.7397516
153,53033000102,354.875170506409,369.42724051475,227.059698846444,Census Tract 1.02,102,1.02,Lake City,8.3,8,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",5,19776.5126415243,15458424.260885
154,53033000201,446.422710226043,446.457401125192,0,Census Tract 2.01,201,2.01,Lake City,8.2,8,Olympic Hills/Victory Heights,"Lake City, Victory Heights, Olympic Hills, Pinehurst, Jackson Park",5,18651.5944507212,19446251.0423688
155,53033002000,279.702251225755,272.634579904369,7.08698234468126,Census Tract 20,2000,20,Outside - Northeast,8.1,8,Northgate/Maple Leaf,"Maple Leaf, Northgate, Pinehurst",5,15509.5457093429,12183878.7988554
156,53033002200,691.722840550017,692.902270053851,285.395101810901,Census Tract 22,2200,22,Outside - Northeast,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",4,28212.1739455376,30131567.4605042
157,53033003400,194.500409199023,194.511719296431,0,Census Tract 34,3400,34,Greenwood - Phinney Ridge,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",6,12629.322933575,8472471.71456528
158,53033003900,240.617379585159,240.633197458486,0,Census Tract 39,3900,39,Outside - Northeast,7.4,7,Wedgwood/View Ridge,"Wedgwood, View Ridge, Bryant, Matthews Beach",4,13200.9092050947,10481334.9800325
159,53033004402,72.8881711047403,72.8931223114656,0,Census Tract 44.02,4402,44.02,Green Lake - Roosevelt,7.2,7,University District,"University District, Cowen Park, Ravenna",4,7487.97985687103,3175021.43339309
160,53033004902,148.031136738017,147.671164473881,4.29172626786695,Census Tract 49.02,4902,49.02,Fremont - Wallingford,11.1,11,Fremont,"Fremont, Wallingford, Northlake",6,10801.7311825921,6448262.10932861
161,53033005201,173.016582405891,172.899882620496,18.0925618309928,Census Tract 52.01,5201,52.01,Fremont - Wallingford,11.2,11,Wallingford,"Wallingford, Meridian, Northlake, University District",4,14175.9240542049,7536632.47609937
162,53033005306,49.5385084065436,49.5419108543515,0,Census Tract 53.06,5306,53.06,University District,7.2,7,University District,"University District, Cowen Park, Ravenna",4,5954.87262312138,2157906.05781439
163,53033006100,274.544219433053,296.13380748507,168.47200128736,Census Tract 61,6100,61,Eastlake,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",3,21477.2649568894,11959194.0352346
164,53033006200,548.194555226699,602.301081885183,59.1461557215316,Census Tract 62,6200,62,Outside - East,7.1,7,Montlake/Portage Bay,"Montlake, Portage Bay, Interlaken Park, Eastlake, Roanoke Park, Washington Park",3,34025.2170955156,23879450.343376
165,53033006702,75.3015352269044,75.3048708360155,0,Census Tract 67.02,6702,67.02,Center City,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,8593.8649046644,3280147.99506344
166,53033006900,223.6487070949,223.660270111585,0,Census Tract 69,6900,69,Outside - West,12.3,12,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",7,15666.5439544695,9742176.64971903
167,53033007201,37.2486779140338,37.2496536459774,0,Census Tract 72.01,7201,72.01,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7,5873.2165106452,1622558.90016649
168,53033007301,61.9681659944449,61.970817338758,0,Census Tract 73.01,7301,73.01,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7,7422.61069281975,2699344.10808396
169,53033007303,77.4697634207097,77.4742089812023,0,Census Tract 73.03,7303,73.03,Center City,11.3,11,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",7,7984.8635220016,3374596.3929783
170,53033007406,37.268992968464,37.2706576034146,0,Census Tract 74.06,7406,74.06,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,6764.47724113477,1623443.82747276
171,53033007501,73.7031013459406,73.7073345438828,0,Census Tract 75.01,7501,75.01,First Hill - Capitol Hill,6.2,6,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",3,7219.62364175991,3210519.93669459
172,53033008002,57.8976060655771,57.9002503874353,0,Census Tract 80.02,8002,80.02,Center City,13.1,13,Belltown,"Belltown, Denny Regrade",7,7998.38246587977,2522029.80832368
173,53033008900,314.613092184132,313.831989127007,444.311785096641,Census Tract 89,8900,89,Central Area,5.1,5,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",3,19854.8449273713,13704601.1138935
174,53033009500,629.454047073406,641.909850609427,720.62601123862,Census Tract 95,9500,95,Southeast - North,4.4,4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic",2,29453.1657988634,27419127.96692
175,53033009801,248.260001901815,248.268753750349,0,Census Tract 98.01,9801,98.01,Admiral - West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,13291.5490832838,10814248.9398005
176,53033010301,247.755263908932,247.762187718041,0,Census Tract 103.01,10301,103.01,Southeast - North,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2,16924.3685147596,10792262.4648728
177,53033010501,183.349742157102,183.35614684348,0,Census Tract 105.01,10501,105.01,Admiral - West Seattle Junction,1.3,1,West Seattle Junction/Genesee Hill,"Seaview, Fairmount Park, Morgan Junction, Genesee Hill, Belvidere, West Seattle Junction, Alaska Junction, Admiral",1,12490.0968039152,7986746.71531259
178,53033010601,269.148655355335,269.155336131248,0,Census Tract 106.01,10601,106.01,Morgan Junction,1.2,1,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,14458.8369486923,11724162.323881
179,53033011101,280.915269466488,280.92200019293,0,Census Tract 111.01,11101,111.01,Othello,4.2,4,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",2,15552.0743493747,12236718.0847794
180,53033011102,321.372032996796,322.034158058911,282.550177552383,Census Tract 111.02,11102,111.02,Outside - Southeast,4.3,4,Seward Park,"Seward Park, Hillman City",2,20509.7781360448,13999021.7533795
181,53033011300,855.346300507908,844.929408194818,10.4327892117309,Census Tract 113,11300,113,Outside - South Seattle,2.5,2,Highland Park,"Highland Park, Westwood, White Center, South Delridge",1,27177.7501082783,37259033.8861193
182,53033011902,382.421769869947,390.596017241452,300.847589744733,Census Tract 119.02,11902,119.02,Outside - Southeast,4.1,4,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",2,25506.4003380975,16658358.9288937
184,53033001702,316.327379342956,316.349251649506,0,Census Tract 17.02,1702,17.02,Crown Hill,9.3,9,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",5,17476.4075143324,13779275.7612243
