OBJECTID,geoid,ZONE_CODE,COUNT,AREA,MEAN_HEAT_INDEX
249,17031570200,249,17630,1763000,89.28935842
250,17031570400,250,4617,461700,89.76050455
251,17031340400,251,2901,290100,88.99150261
252,17031839600,252,3276,327600,88.32791501
253,17031340600,253,4759,475900,88.7070993
254,17031350400,254,2020,202000,88.2920242
255,17031380200,255,2147,214700,88.04154539
256,17031835900,256,6477,647700,88.1231827
257,17031841000,257,10572,1057200,87.60480348
258,17031380100,258,4379,437900,87.91211212
259,17031841100,259,11448,1144800,89.4462891
260,17031842000,260,5908,590800,87.87968233
261,17031381200,261,2575,257500,87.69051577
262,17031836000,262,5033,503300,88.22702732
263,17031835700,263,1905,190500,88.57648573
264,17031835600,264,9157,915700,89.07972562
265,17031835500,265,9168,916800,88.98040884
266,17031610800,266,3324,332400,89.11280469
267,17031840000,267,5900,590000,88.6322054
268,17031381900,268,1728,172800,87.21439435
269,17031843600,269,4115,411500,87.30219822
270,17031381400,270,3163,316300,88.27205687
271,17031381500,271,1080,108000,88.38056027
272,17031381800,272,3199,319900,88.42113555
273,17031835800,273,2860,286000,88.10698902
274,17031360200,274,2312,231200,86.35786414
275,17031330100,275,27849,2784900,87.23046577
276,17031350100,276,5661,566100,87.22001568
277,17031351000,277,8187,818700,87.45537416
278,17031836500,278,4675,467500,86.23371563
279,17031390100,279,4820,482000,86.36283276
280,17031390200,280,3024,302400,86.10865397
281,17031836400,281,7987,798700,86.07233568
282,17031390700,282,6119,611900,87.0723457
283,17031836300,283,1372,137200,85.12995203
284,17031410200,284,641,64100,86.2033223
285,17031410700,285,2617,261700,85.12607213
286,17031190701,286,2762,276200,89.30051325
287,17031410900,287,3858,385800,86.31562109
288,17031410600,288,2514,251400,84.47675228
289,17031410800,289,2486,248600,86.56805973
290,17031839000,290,5156,515600,88.79279685
291,17031839100,291,11866,1186600,87.78562794
292,17031320600,292,6106,610600,87.93679746
293,17031241300,293,1638,163800,88.37411954
294,17031320400,294,8041,804100,87.41249322
295,17031240500,295,2347,234700,89.07993591
296,17031832300,296,8399,839900,88.66153911
297,17031832500,297,7812,781200,88.74732456
298,17031240300,298,1680,168000,89.29623398
299,17031831000,299,2799,279900,89.05652925
300,17031842300,300,18934,1893400,89.00276272
301,17031080201,301,1358,135800,87.04597546
302,17031842200,302,15431,1543100,88.94405692
303,17031081800,303,7414,741400,88.25936744
304,17031242400,304,3287,328700,88.54689703
305,17031241500,305,3021,302100,89.26719458
306,17031241400,306,5187,518700,89.39508767
307,17031241600,307,2949,294900,89.1176829
308,17031061100,308,1728,172800,88.70835068
309,17031242000,309,3259,325900,88.38760692
310,17031242100,310,3286,328600,88.68237635
311,17031242200,311,3260,326000,89.08814789
312,17031242300,312,3277,327700,88.27326025
313,17031242900,313,3227,322700,89.16580447
314,17031243000,314,3251,325100,88.61187325
315,17031080202,315,1552,155200,87.05411915
316,17031080400,316,3254,325400,87.18573965
317,17031080100,317,2655,265500,85.17744419
318,17031071500,318,9160,916000,86.80703044
319,17031071800,319,3251,325100,88.31945555
320,17031080300,320,3632,363200,88.30673479
321,17031081000,321,2999,299900,88.02081613
