OBJECTID,geoid,ZONE_CODE,COUNT,AREA,MEAN
222,17031171000,222,13921,1392100,84.22911447
223,17031839200,223,6502,650200,83.71035356
224,17031831500,224,9584,958400,83.92971487
225,17031250500,225,20590,2059000,83.97915403
226,17031839500,226,2615,261500,83.50325169
227,17031831600,227,14872,1487200,84.1111893
228,17031250300,228,6178,617800,84.35003096
229,17031191302,229,6333,633300,84.7069237
230,17031191200,230,7039,703900,84.17813994
231,17031191301,231,6757,675700,84.45887246
232,17031250400,232,13061,1306100,84.33046782
233,17031250700,233,6594,659400,84.57888205
234,17031251900,234,6321,632100,84.23174933
235,17031250600,235,6461,646100,84.7280239
236,17031251200,236,6610,661000,84.50913001
237,17031251300,237,6534,653400,84.59249494
238,17031251400,238,6881,688100,84.28501175
239,17031251500,239,6856,685600,84.54058522
240,17031252101,240,8547,854700,83.12487585
241,17031252102,241,6691,669100,84.45784994
242,17031252202,242,6372,637200,84.72761267
243,17031831400,243,21018,2101800,84.39224177
244,17031140601,244,2728,272800,83.86256436
245,17031560100,245,7256,725600,84.43524496
246,17031560300,246,6538,653800,84.53401156
247,17031560400,247,3406,340600,84.50083786
248,17031351400,248,3214,321400,83.5484194
249,17031570200,249,17630,1763000,84.57677625
250,17031570400,250,4617,461700,84.87829149
251,17031340400,251,2901,290100,84.38847475
252,17031839600,252,3276,327600,83.78493504
253,17031340600,253,4759,475900,84.18971977
254,17031350400,254,2020,202000,83.75850538
255,17031380200,255,2147,214700,83.49572563
256,17031835900,256,6477,647700,83.55164697
257,17031841000,257,10572,1057200,83.23986868
258,17031380100,258,4379,437900,83.39791721
259,17031841100,259,11448,1144800,84.55116196
260,17031842000,260,5908,590800,83.52740642
261,17031381200,261,2575,257500,83.51596272
262,17031836000,262,5033,503300,83.64856946
263,17031835700,263,1905,190500,83.9600753
264,17031835600,264,9157,915700,84.21563166
265,17031835500,265,9168,916800,84.24633207
266,17031610800,266,3324,332400,84.26044194
267,17031840000,267,5900,590000,84.21365274
268,17031381900,268,1728,172800,83.07186466
269,17031843600,269,4115,411500,83.16924587
270,17031381400,270,3163,316300,83.74792668
271,17031381500,271,1080,108000,83.80333106
272,17031381800,272,3199,319900,83.80178118
273,17031835800,273,2860,286000,83.72756338
274,17031360200,274,2312,231200,82.24937309
275,17031330100,275,27849,2784900,82.8961681
276,17031350100,276,5661,566100,82.65810593
277,17031351000,277,8187,818700,82.70732808
278,17031836500,278,4675,467500,81.75054633
279,17031390100,279,4820,482000,81.85178323
280,17031390200,280,3024,302400,82.16352452
281,17031836400,281,7987,798700,81.8893228
282,17031390700,282,6119,611900,82.50942601
283,17031836300,283,1372,137200,81.52416572
284,17031410200,284,641,64100,82.3231807
285,17031410700,285,2617,261700,81.55426052
286,17031190701,286,2762,276200,84.47480794
287,17031410900,287,3858,385800,82.1437469
288,17031410600,288,2514,251400,81.09757159
289,17031410800,289,2486,248600,82.68091528
290,17031839000,290,5156,515600,84.2462983
291,17031839100,291,11866,1186600,83.48759685
292,17031320600,292,6106,610600,83.37824748
293,17031241300,293,1638,163800,83.80168987
294,17031320400,294,8041,804100,83.03909353
295,17031240500,295,2347,234700,84.53263153
296,17031832300,296,8399,839900,84.32082576
297,17031832500,297,7812,781200,84.26157698
298,17031240300,298,1680,168000,84.56775747
299,17031831000,299,2799,279900,84.47059564
300,17031842300,300,18934,1893400,84.36371577
301,17031080201,301,1358,135800,82.89924503
302,17031842200,302,15431,1543100,84.24378163
303,17031081800,303,7414,741400,83.95555076
304,17031242400,304,3287,328700,84.20992917
305,17031241500,305,3021,302100,84.6467804
306,17031241400,306,5187,518700,84.56521498
307,17031241600,307,2949,294900,84.46839425
308,17031061100,308,1728,172800,84.42507596
309,17031242000,309,3259,325900,84.1980846
310,17031242100,310,3286,328600,84.36405047
311,17031242200,311,3260,326000,84.47585369
312,17031242300,312,3277,327700,83.98175809
313,17031242900,313,3227,322700,84.42949251
314,17031243000,314,3251,325100,84.1874356
315,17031080202,315,1552,155200,83.0830952
316,17031080400,316,3254,325400,83.00173579
317,17031080100,317,2655,265500,81.12307844
318,17031071500,318,9160,916000,82.39502147
319,17031071800,319,3251,325100,83.62388962
320,17031080300,320,3632,363200,83.88545475
321,17031081000,321,2999,299900,83.94226093
322,17031081100,322,1028,102800,83.61466852
323,17031081201,323,1838,183800,82.5485392
324,17031081202,324,2039,203900,80.81680553
325,17031081300,325,2031,203100,80.68355088
326,17031081500,326,2972,297200,83.19704295
327,17031081600,327,1318,131800,83.19645087
328,17031081700,328,3709,370900,83.07346368
329,17031838300,329,3501,350100,83.67719893
330,17031071700,330,1612,161200,83.31994796
331,17031070500,331,3036,303600,84.29166446
332,17031071000,332,3237,323700,83.96460786
333,17031140400,333,11799,1179900,83.67765467
334,17031140302,334,4222,422200,83.0541963
335,17031140701,335,2264,226400,83.28823295
336,17031160501,336,3450,345000,84.16418822
337,17031140602,337,3845,384500,83.68516758
338,17031140500,338,4508,450800,83.85043703
339,17031140702,339,4272,427200,83.59923136
340,17031140200,340,3951,395100,83.19071771
341,17031140301,341,1621,162100,83.52561769
342,17031230500,342,5275,527500,84.51104571
343,17031160300,343,4261,426100,83.83532591
344,17031160400,344,6580,658000,83.75929733
345,17031160800,345,6577,657700,84.11815111
346,17031711300,346,3484,348400,84.82971563
347,17031160900,347,6568,656800,83.65367946
348,17031210100,348,8547,854700,84.31414811
349,17031220902,349,3300,330000,84.35089665
350,17031831100,350,13144,1314400,84.26378023
351,17031200200,351,8178,817800,84.17582003
352,17031710300,352,3290,329000,84.81557558
353,17031220702,353,5733,573300,84.31793998
354,17031200300,354,2500,250000,84.54451899
355,17031220901,355,2913,291300,84.17678424
356,17031430101,356,3268,326800,83.03239589
357,17031230400,357,3356,335600,84.19556977
358,17031831200,358,5745,574500,84.44341046
359,17031200402,359,3853,385300,84.54892732
360,17031071300,360,3108,310800,82.64252918
361,17031210501,361,3131,313100,84.34196733
362,17031210502,362,3460,346000,84.45425371
363,17031210601,363,2730,273000,84.73301147
364,17031210602,364,3808,380800,84.55612249
365,17031210700,365,4953,495300,84.3975619
366,17031220500,366,3338,333800,83.53881405
367,17031220602,367,4659,465900,84.03898882
368,17031220601,368,1879,187900,83.95594212
369,17031221000,369,2199,219900,84.16416453
370,17031221100,370,4410,441000,83.90060742
371,17031440300,371,12956,1295600,84.57026153
372,17031440600,372,6669,666900,84.24677239
373,17031490300,373,6316,631600,84.39052103
374,17031710900,374,9926,992600,84.71894119
375,17031834000,375,9832,983200,83.81958036
376,17031842400,376,19656,1965600,84.8810464
377,17031490500,377,14244,1424400,83.86338605
378,17031490600,378,6824,682400,84.46929276
379,17031490800,379,10795,1079500,84.24296397
380,17031711500,380,6459,645900,84.29294688
381,17031730100,381,6561,656100,84.46017199
382,17031730500,382,13179,1317900,84.13143649
383,17031710400,383,10009,1000900,85.00246089
384,17031710500,384,7483,748300,85.03897302
385,17031711200,385,11017,1101700,84.67463351
386,17031710600,386,2440,244000,85.49000792
387,17031730300,387,2982,298200,84.44126981
388,17031710700,388,4907,490700,85.26371629
389,17031711100,389,6534,653400,84.95261212
390,17031710800,390,8143,814300,85.28939506
391,17031060300,391,3195,319500,83.9293284
392,17031711000,392,6540,654000,84.80924899
393,17031711400,393,7458,745800,85.05110386
394,17031720100,394,19619,1961900,83.83725607
395,17031730201,395,9978,997800,84.58342898
396,17031730202,396,8715,871500,84.83682412
397,17031720200,397,16720,1672000,84.57981846
398,17031730400,398,12840,1284000,84.38964735
399,17031260500,399,3387,338700,84.2664799
400,17031843400,400,6565,656500,84.67589144
401,17031261000,401,4998,499800,83.8705456
402,17031290900,402,9952,995200,84.0938253
403,17031040401,403,3841,384100,83.42159352
404,17031843000,404,10654,1065400,84.15244745
405,17031260600,405,3168,316800,84.26241263
406,17031040900,406,3208,320800,83.05878317
407,17031260800,407,3294,329400,83.77716367
408,17031270500,408,5609,560900,83.68897451
409,17031260900,409,2274,227400,84.11669216
410,17031271400,410,3297,329700,83.6710776
411,17031271200,411,3281,328100,84.17275735
412,17031271500,412,1620,162000,84.24625666
413,17031151001,413,3296,329600,84.30204955
414,17031271300,414,3268,326800,84.11067851
415,17031838600,415,2442,244200,83.55573071
416,17031837300,416,3671,367100,84.27171762
417,17031661100,417,12980,1298000,84.32379098
418,17031843300,418,5844,584400,84.28323761
419,17031841200,419,6255,625500,84.42816059
420,17031292200,420,3933,393300,84.43422092
421,17031060200,421,3191,319100,83.48250604
422,17031838700,422,6596,659600,84.17418842
423,17031300600,423,3277,327700,84.926717
424,17031292400,424,3294,329400,84.61283922
425,17031031000,425,4225,422500,83.60283341
426,17031292500,426,9813,981300,84.36314121
427,17031841400,427,2456,245600,84.77350188
428,17031640800,428,3253,325300,84.97973543
429,17031030300,429,3147,314700,82.09327046
430,17031650500,430,32416,3241600,84.55942412
431,17031650400,431,10978,1097800,84.49939479
432,17031030603,432,1154,115400,81.82186039
433,17031700200,433,16144,1614400,84.46187538
434,17031030900,434,4078,407800,82.76596975
435,17031030400,435,3448,344800,81.60964052
